path,hit
0,0
1,0
2,0
3,12
4,1318
5,0
6,1757
7,439
8,613
9,0
10,1307
11,0
12,6
13,1
14,0
15,81
16,78
17,77
18,228
19,0
20,0
21,0
22,0
23,79
24,0
25,0
26,0
27,0
28,435
29,0
30,0
31,433
32,0
33,989
34,311
35,0
36,1
37,1
38,1517
39,803
40,657
41,3
42,0
43,1
44,3
45,667
46,2
47,0
48,864
49,0
50,658
51,0
52,1
53,1
54,0
55,0
56,0
57,1299
58,0
59,0
60,0
61,0
62,1
63,320
64,432
65,0
66,500
67,0
68,0
69,659
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,41
91,320
92,4541
93,2
94,2
95,1
96,0
97,0
98,0
99,0
