path,hit
0,0
1,0
2,0
3,12
4,640
5,0
6,853
7,213
8,238
9,0
10,629
11,0
12,6
13,1
14,0
15,38
16,35
17,34
18,84
19,0
20,0
21,0
22,0
23,35
24,0
25,0
26,0
27,0
28,172
29,0
30,0
31,170
32,0
33,487
34,135
35,0
36,1
37,1
38,665
39,331
40,287
41,3
42,0
43,1
44,3
45,297
46,2
47,0
48,412
49,0
50,251
51,0
52,1
53,1
54,0
55,0
56,0
57,584
58,0
59,0
60,0
61,0
62,1
63,145
64,206
65,0
66,206
67,0
68,0
69,252
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,19
91,143
92,2073
93,2
94,2
95,1
96,0
97,0
98,0
99,0
