path,hit
0,0
1,0
2,0
3,12
4,1726
5,0
6,2301
7,575
8,679
9,0
10,1715
11,0
12,6
13,1
14,0
15,95
16,92
17,91
18,247
19,0
20,0
21,0
22,0
23,93
24,0
25,0
26,0
27,0
28,498
29,0
30,0
31,496
32,0
33,1341
34,367
35,0
36,1
37,1
38,1879
39,980
40,812
41,3
42,0
43,1
44,3
45,822
46,2
47,0
48,1136
49,0
50,741
51,0
52,1
53,1
54,0
55,0
56,0
57,1634
58,0
59,0
60,0
61,0
62,1
63,376
64,568
65,0
66,635
67,0
68,0
69,742
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,48
91,375
92,5782
93,2
94,2
95,1
96,0
97,0
98,0
99,0
