path,hit
0,0
1,0
2,0
3,12
4,37
5,0
6,52
7,15
8,20
9,0
10,29
11,0
12,5
13,1
14,0
15,4
16,3
17,2
18,9
19,0
20,0
21,0
22,0
23,2
24,0
25,0
26,0
27,0
28,11
29,0
30,0
31,8
32,0
33,16
34,6
35,0
36,1
37,1
38,29
39,11
40,10
41,3
42,0
43,1
44,3
45,21
46,3
47,0
48,14
49,0
50,12
51,0
52,1
53,1
54,0
55,0
56,0
57,23
58,0
59,0
60,0
61,0
62,1
63,11
64,6
65,0
66,6
67,0
68,0
69,13
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,10
92,62
93,1
94,3
95,1
96,0
97,0
98,0
99,0
