path,hit
0,0
1,0
2,0
3,12
4,907
5,0
6,1211
7,304
8,338
9,0
10,898
11,0
12,5
13,1
14,0
15,58
16,55
17,54
18,129
19,0
20,0
21,0
22,0
23,29
24,0
25,0
26,0
27,0
28,251
29,0
30,0
31,248
32,0
33,674
34,215
35,0
36,1
37,1
38,66433
39,66006
40,419
41,3
42,0
43,1
44,3
45,430
46,3
47,0
48,591
49,0
50,372
51,0
52,1
53,1
54,0
55,0
56,0
57,841
58,0
59,0
60,0
61,0
62,1
63,197
64,295
65,0
66,297
67,0
68,0
69,373
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,29
91,169
92,68480
93,2
94,3
95,1
96,0
97,0
98,0
99,0
