path,hit
0,0
1,0
2,0
3,12
4,664
5,0
6,887
7,223
8,276
9,0
10,655
11,0
12,5
13,1
14,0
15,42
16,39
17,38
18,110
19,0
20,0
21,0
22,0
23,21
24,0
25,0
26,0
27,0
28,215
29,0
30,0
31,212
32,0
33,495
34,151
35,0
36,1
37,1
38,663
39,353
40,319
41,3
42,0
43,1
44,3
45,330
46,3
47,0
48,429
49,0
50,318
51,0
52,1
53,1
54,0
55,0
56,0
57,643
58,0
59,0
60,0
61,0
62,1
63,141
64,214
65,0
66,215
67,0
68,0
69,319
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,20
91,120
92,2180
93,2
94,3
95,1
96,0
97,0
98,0
99,0
