path,hit
0,0
1,0
2,0
3,12
4,2056
5,0
6,2742
7,686
8,837
9,0
10,2046
11,0
12,6
13,1
14,0
15,119
16,118
17,117
18,329
19,0
20,0
21,0
22,0
23,60
24,0
25,0
26,0
27,0
28,657
29,0
30,0
31,655
32,0
33,1570
34,471
35,0
36,1
37,1
38,2046
39,1123
40,1005
41,3
42,0
43,1
44,3
45,1015
46,2
47,0
48,1359
49,0
50,981
51,0
52,1
53,1
54,0
55,0
56,0
57,2015
58,0
59,0
60,0
61,0
62,1
63,358
64,679
65,0
66,718
67,0
68,0
69,982
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,59
91,301
92,6830
93,1
94,2
95,1
96,0
97,0
98,0
99,0
