path,hit
0,0
1,0
2,0
3,12
4,232
5,0
6,310
7,78
8,90
9,0
10,222
11,0
12,6
13,1
14,0
15,13
16,14
17,13
18,34
19,0
20,0
21,0
22,0
23,7
24,0
25,0
26,0
27,0
28,75
29,0
30,0
31,74
32,0
33,166
34,51
35,0
36,1
37,1
38,218
39,115
40,102
41,3
42,0
43,1
44,3
45,112
46,2
47,0
48,143
49,0
50,105
51,0
52,1
53,1
54,0
55,0
56,0
57,217
58,0
59,0
60,0
61,0
62,1
63,40
64,71
65,0
66,78
67,0
68,0
69,106
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,6
91,35
92,721
93,1
94,2
95,1
96,0
97,0
98,0
99,0
