path,hit
0,0
1,0
2,0
3,12
4,2140
5,0
6,2855
7,715
8,900
9,0
10,2131
11,0
12,5
13,1
14,0
15,126
16,123
17,122
18,359
19,0
20,0
21,0
22,0
23,63
24,0
25,0
26,0
27,0
28,668
29,0
30,0
31,665
32,0
33,1635
34,487
35,0
36,1
37,1
38,2122
39,1131
40,1060
41,3
42,0
43,1
44,3
45,1071
46,3
47,0
48,1413
49,0
50,1019
51,0
52,1
53,1
54,0
55,0
56,0
57,2080
58,0
59,0
60,0
61,0
62,1
63,435
64,706
65,0
66,707
67,0
68,0
69,1020
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,63
91,372
92,7087
93,2
94,3
95,1
96,0
97,0
98,0
99,0
