path,hit
0,0
1,0
2,0
3,12
4,295
5,0
6,395
7,100
8,119
9,0
10,286
11,0
12,5
13,1
14,0
15,20
16,17
17,16
18,48
19,0
20,0
21,0
22,0
23,10
24,0
25,0
26,0
27,0
28,89
29,0
30,0
31,86
32,0
33,214
34,63
35,0
36,1
37,1
38,286
39,149
40,134
41,3
42,0
43,1
44,3
45,145
46,3
47,0
48,183
49,0
50,130
51,0
52,1
53,1
54,0
55,0
56,0
57,271
58,0
59,0
60,0
61,0
62,1
63,63
64,91
65,0
66,91
67,0
68,0
69,131
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,8
91,53
92,929
93,2
94,3
95,1
96,0
97,0
98,0
99,0
