path,hit
0,0
1,0
2,0
3,12
4,466
5,0
6,621
7,155
8,213
9,0
10,455
11,0
12,6
13,1
14,0
15,29
16,26
17,25
18,80
19,0
20,0
21,0
22,0
23,27
24,0
25,0
26,0
27,0
28,139
29,0
30,0
31,137
32,0
33,345
34,103
35,0
36,1
37,1
38,539
39,291
40,225
41,3
42,0
43,1
44,3
45,235
46,2
47,0
48,296
49,0
50,214
51,0
52,1
53,1
54,0
55,0
56,0
57,435
58,0
59,0
60,0
61,0
62,1
63,112
64,148
65,0
66,186
67,0
68,0
69,215
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,14
91,111
92,1563
93,2
94,2
95,1
96,0
97,0
98,0
99,0
