path,hit
0,0
1,0
2,0
3,12
4,1870
5,0
6,2494
7,624
8,792
9,0
10,1860
11,0
12,5
13,1
14,0
15,114
16,109
17,108
18,289
19,0
20,0
21,0
22,0
23,110
24,0
25,0
26,0
27,0
28,615
29,0
30,0
31,612
32,0
33,1418
34,431
35,0
36,1
37,1
38,2049
39,1017
40,899
41,3
42,0
43,1
44,3
45,910
46,3
47,0
48,1230
49,0
50,896
51,0
52,1
53,1
54,0
55,0
56,0
57,1845
58,0
59,0
60,0
61,0
62,1
63,499
64,615
65,0
66,615
67,0
68,0
69,897
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,60
91,497
92,6357
93,3
94,3
95,1
96,0
97,0
98,0
99,0
