path,hit
0,0
1,0
2,0
3,12
4,1120
5,0
6,1494
7,374
8,490
9,0
10,1110
11,0
12,6
13,1
14,0
15,64
16,63
17,62
18,197
19,0
20,0
21,0
22,0
23,32
24,0
25,0
26,0
27,0
28,342
29,0
30,0
31,340
32,0
33,856
34,249
35,0
36,1
37,1
38,1099
39,600
40,561
41,3
42,0
43,1
44,3
45,571
46,2
47,0
48,735
49,0
50,534
51,0
52,1
53,1
54,0
55,0
56,0
57,1076
58,0
59,0
60,0
61,0
62,1
63,191
64,367
65,0
66,373
67,0
68,0
69,535
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,31
91,160
92,3670
93,1
94,2
95,1
96,0
97,0
98,0
99,0
