path,hit
0,0
1,0
2,0
3,12
4,79
5,0
6,106
7,27
8,30
9,0
10,69
11,0
12,6
13,1
14,0
15,5
16,4
17,3
18,11
19,0
20,0
21,0
22,0
23,3
24,0
25,0
26,0
27,0
28,19
29,0
30,0
31,17
32,0
33,49
34,15
35,0
36,1
37,1
38,68
39,32
40,28
41,3
42,0
43,1
44,3
45,38
46,2
47,0
48,41
49,0
50,25
51,0
52,1
53,1
54,0
55,0
56,0
57,59
58,0
59,0
60,0
61,0
62,1
63,16
64,20
65,0
66,21
67,0
68,0
69,26
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,15
92,168
93,1
94,2
95,1
96,0
97,0
98,0
99,0
