path,hit
0,0
1,0
2,0
3,12
4,625
5,0
6,835
7,210
8,267
9,0
10,616
11,0
12,5
13,1
14,0
15,40
16,37
17,36
18,107
19,0
20,0
21,0
22,0
23,20
24,0
25,0
26,0
27,0
28,203
29,0
30,0
31,200
32,0
33,464
34,143
35,0
36,1
37,1
38,624
39,331
40,303
41,3
42,0
43,1
44,3
45,314
46,3
47,0
48,403
49,0
50,303
51,0
52,1
53,1
54,0
55,0
56,0
57,605
58,0
59,0
60,0
61,0
62,1
63,135
64,201
65,0
66,201
67,0
68,0
69,304
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,20
91,115
92,2052
93,2
94,3
95,1
96,0
97,0
98,0
99,0
